,gain
f30,24650.8203125
f9,24380.259765625
f88,5146.47705078125
f11,2166.645263671875
f216,1993.1124267578125
f2,1977.66552734375
f270,1833.2607421875
f215,1769.334716796875
f14,1726.6953125
f12,1431.9012451171875
f10,1255.193603515625
f118,1231.077392578125
f205,1211.3482666015625
f20,1175.9580078125
f176,852.6124267578125
f235,797.572998046875
f25,708.4620971679688
f26,701.8331909179688
f22,636.1512451171875
f1,574.9747314453125
