,gain
f9,793.1720581054688
f18,792.8410034179688
f76,150.3076171875
f2,77.42434692382812
f258,72.76554870605469
f204,70.08483123779297
f203,68.32683563232422
f48,64.88246154785156
f193,61.09050750732422
f49,60.96074676513672
f106,58.648685455322266
f50,58.120582580566406
f164,56.756072998046875
f202,45.735015869140625
f223,44.60837936401367
f51,43.27153396606445
f217,36.17292404174805
f214,30.735794067382812
f1,28.89065933227539
f14,28.539941787719727
